monument_nom;monument_lat;monument_lon
Tour Pey-Berland ˆ Bordeaux;44,8379962;-0,5777064
MusŽe des Plans-Reliefs;48,85647757;2,312697172
Ch‰teau de Villeneuve-Lembron;45,47799655;3,185970783
Ch‰teau de Chareil-Cintrat;46,23942016;3,229722977
Clo”tre de la cathŽdrale du Puy-en-Velay;45,0461801;3,8848592
Ch‰teau d'Aulteribe;45,775;3,498889
Ch‰teau de Bussy-Rabutin;47,56157768;4,523475766
Cairn de Barnenez;48,66756914;-3,858427405
Ch‰teau de Maisons;48,9471671;2,15389967
Alignements de Carnac;47,597702;-3,0633934
Maison d'Ernest Renan ˆ TrŽguier;48,788491;-3,2271867
Ch‰teau de Bouges;47,04240481;1,672968864
Clo”tre de la Psalette ˆ Tours;47,39582912;0,694069862
Tours de la cathŽdrale de Chartres;48,44776369;1,487982273
Tours de la cathŽdrale de Reims;49,2534;4,033
Tour et crypte de la cathŽdrale de Bourges;47,08241152;2,398495674
Ch‰teau de La Motte-Tilly;48,46713457;3,431473374
Palais du Tau ˆ Reims;49,25309012;4,034181833
Domaine national de Saint-Cloud;48,83682143;2,218208313
Ch‰teau de Vincennes;48,84266825;2,435703278
Maison des Jardies ˆ Svres;48,8272072;2,1985906
Place forte de Mont-Dauphin;44,6691299;6,6252286
Ch‰teau de Rambouillet, Laiterie de la Reine et Chaumire aux Coquillages;48,64540401;1,817328036
Site archŽologique et musŽe d'EnsŽrune;43,310556;3,115278
H™tel de BŽthune-Sully;48,854703;2,363875
Ch‰teau de Fougres-sur-Bivre;47,44773885;1,343808174
Ch‰teau de Talcy;47,76975536;1,444476843
Ch‰teau de Ch‰teaudun;48,07079562;1,323723793
Ch‰teau et remparts de la citŽ de Carcassonne;43,20728336;2,363262177
Forteresse de Salses;42,83968028;2,918302417
Abbaye de Beaulieu-en-Rouergue;44,2012986;1,8576953
Ch‰teau de Castelnau-Bretenoux;44,8992;1,8256
Grotte de Pair-non-Pair;45,0396354;-0,5022214
Ch‰teau d'Assier;44,6752839;1,8792255
Ch‰teau de Puyguilhem;45,425833;0,744444
Site archŽologique de Montmaurin;43,2246742;0,6370025
Abbaye du Mont-Saint-Michel;48,63597158;-1,511414051
Ch‰teau de Carrouges;48,56012908;-0,154345036
Abbaye du Bec-Hellouin;49,228611;0,721667
Sainte-Chapelle;48,85536753;2,345023155
Tours de la cathŽdrale Notre-Dame de Paris;48,85297618;2,349953055
Ch‰teau d'Angers;47,4698136;-0,5593384
Abbaye de La Sauve-Majeure;44,7679;-0,3125
Site archŽologique de Montcaret;44,8587327;0,0638404
Ch‰teau de Pierrefonds;49,34699376;2,980197072
Abbaye de Charroux;46,141736;0,404965
Site gallo-romain de Sanxay;46,4941324;-0,0070385
Clo”tre de la cathŽdrale de FrŽjus;43,43306278;6,737151146
Abbaye de Montmajour;43,70567881;4,664148241
Ch‰teau d'If;43,27985713;5,325134397
Site archŽologique de Glanum;43,7736;4,833
Monastre de Saorge;43,9878757;7,5509564
CathŽdrale de Besanon et son horloge astronomique;47,2336343;6,0303255
Abbaye de Cluny;46,43517292;4,658219218
Ch‰teau d'Azay-le-Rideau;47,2595533;0,4666037
Maison de George Sand ˆ Nohant;46,6254445;1,9749036
Tours de La Rochelle;46,15580101;-1,153231859
Palais Jacques Coeur ˆ Bourges;47,085296;2,3944818
Tours et remparts d'Aigues-Mortes;43,56781436;4,190865755
Maison de Georges Clemenceau ˆ Saint-Vincent-sur-Jard;46,4063;-1,5474
Conciergerie;48,85581755;2,3459512
Ch‰teau de Cadillac;44,63810122;-0,320652723
Chapelle expiatoire;48,8736986;2,322691083
Ch‰teau de Coucy;49,52177486;3,318611383
Ch‰teau d'Oiron;46,95187347;-0,07733345
TrophŽe d'Auguste ˆ La Turbie;43,74480501;7,401840091
Monastre royal de Brou ˆ Bourg-en-Bresse;46,1978767;5,2356066
Arc de triomphe;48,873818;2,295023
Colonne de la Grande ArmŽe ˆ Wimille;50,7644118;1,6310642
Abbaye du Thoronet;43,4501102;6,3080895
Les Eyzies-de-Tayac;44,93599769;1,01565063
Basilique cathŽdrale de Saint-Denis;48,93541968;2,35991478
Tours de la cathŽdrale d'Amiens;49,895;2,302222
Domaine national du Palais-Royal;48,86497237;2,337738276
Ch‰teau et Parc de Champs-sur-Marne;48,85364683;2,604038715
Ch‰teau de Gramont;43,9580329;0,9211763
PanthŽon;48,84628421;2,34607324
Fort Saint-AndrŽ ˆ Villeneuve-lez-Avignon;43,9662;4,8001
Villa Savoye ˆ Poissy;48,92442556;2,028270364
Ch‰teau de Voltaire ˆ Ferney;46,2581309;6,1043544
Site des mŽgalithes de Locmariaquer;47,5732972;-2,9574633
Ch‰teau de Montal;44,8624197;1,8599192
Domaine national de Jossigny;48,83743227;2,753582597
Villa Cavrois (aperu d'un chantier en cours);50,666709;3,162723
NULL;;